Counter;Title;Rule ID;Group ID;Profiles
15;Ensure nodev option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.18_Ensure_nodev_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
16;Ensure nosuid option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.19_Ensure_nosuid_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
17;Ensure noexec option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.20_Ensure_noexec_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
18;Ensure sticky bit is set on all world-writable directories;xccdf_org.cisecurity.benchmarks_rule_1.1.21_Ensure_sticky_bit_is_set_on_all_world-writable_directories;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
19;Ensure Red Hat Subscription Manager connection is configured;xccdf_org.cisecurity.benchmarks_rule_1.2.1_Ensure_Red_Hat_Subscription_Manager_connection_is_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
20;Disable the rhnsd Daemon;xccdf_org.cisecurity.benchmarks_rule_1.2.2_Disable_the_rhnsd_Daemon;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
21;Ensure GPG keys are configured;xccdf_org.cisecurity.benchmarks_rule_1.2.3_Ensure_GPG_keys_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
22;Ensure gpgcheck is globally activated;xccdf_org.cisecurity.benchmarks_rule_1.2.4_Ensure_gpgcheck_is_globally_activated;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
23;Ensure package manager repositories are configured;xccdf_org.cisecurity.benchmarks_rule_1.2.5_Ensure_package_manager_repositories_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
24;Ensure sudo is installed;xccdf_org.cisecurity.benchmarks_rule_1.3.1_Ensure_sudo_is_installed;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
25;Ensure sudo commands use pty;xccdf_org.cisecurity.benchmarks_rule_1.3.2_Ensure_sudo_commands_use_pty;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
26;Ensure sudo log file exists;xccdf_org.cisecurity.benchmarks_rule_1.3.3_Ensure_sudo_log_file_exists;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
27;Ensure AIDE is installed;xccdf_org.cisecurity.benchmarks_rule_1.4.1_Ensure_AIDE_is_installed;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
28;Ensure filesystem integrity is regularly checked;xccdf_org.cisecurity.benchmarks_rule_1.4.2_Ensure_filesystem_integrity_is_regularly_checked;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
29;Ensure permissions on bootloader config are configured;xccdf_org.cisecurity.benchmarks_rule_1.5.1_Ensure_permissions_on_bootloader_config_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
30;Ensure bootloader password is set;xccdf_org.cisecurity.benchmarks_rule_1.5.2_Ensure_bootloader_password_is_set;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
31;Ensure authentication required for single user mode;xccdf_org.cisecurity.benchmarks_rule_1.5.3_Ensure_authentication_required_for_single_user_mode;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
32;Ensure core dumps are restricted;xccdf_org.cisecurity.benchmarks_rule_1.6.1_Ensure_core_dumps_are_restricted;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
33;Ensure address space layout randomization (ASLR) is enabled;xccdf_org.cisecurity.benchmarks_rule_1.6.2_Ensure_address_space_layout_randomization_ASLR_is_enabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
34;Ensure message of the day is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.1_Ensure_message_of_the_day_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
35;Ensure local login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.2_Ensure_local_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
36;Ensure remote login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.3_Ensure_remote_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
37;Ensure permissions on /etc/motd are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.4_Ensure_permissions_on_etcmotd_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
38;Ensure permissions on /etc/issue are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.5_Ensure_permissions_on_etcissue_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
39;Ensure permissions on /etc/issue.net are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.6_Ensure_permissions_on_etcissue.net_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
40;Ensure GDM login banner is configured;xccdf_org.cisecurity.benchmarks_rule_1.8.2_Ensure_GDM_login_banner_is_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
41;Ensure updates, patches, and additional security software are installed;xccdf_org.cisecurity.benchmarks_rule_1.9_Ensure_updates_patches_and_additional_security_software_are_installed;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
42;Ensure system-wide crypto policy is not legacy;xccdf_org.cisecurity.benchmarks_rule_1.10_Ensure_system-wide_crypto_policy_is_not_legacy;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
43;Ensure mounting of cramfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
44;Ensure mounting of squashfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
45;Ensure mounting of udf filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
46;Ensure /tmp is configured;xccdf_org.cisecurity.benchmarks_rule_1.1.2_Ensure_tmp_is_configured;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
47;Ensure nodev option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
48;Ensure nosuid option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
49;Ensure noexec option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.5_Ensure_noexec_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
50;Ensure nodev option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nodev_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
51;Ensure nosuid option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_nosuid_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
52;Ensure noexec option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.10_Ensure_noexec_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
53;Ensure nodev option set on /home partition;xccdf_org.cisecurity.benchmarks_rule_1.1.14_Ensure_nodev_option_set_on_home_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
54;Ensure nodev option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.15_Ensure_nodev_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
55;Ensure nosuid option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.16_Ensure_nosuid_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
56;Ensure noexec option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.17_Ensure_noexec_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
57;Ensure nodev option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.18_Ensure_nodev_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
58;Ensure nosuid option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.19_Ensure_nosuid_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
59;Ensure noexec option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.20_Ensure_noexec_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
60;Ensure sticky bit is set on all world-writable directories;xccdf_org.cisecurity.benchmarks_rule_1.1.21_Ensure_sticky_bit_is_set_on_all_world-writable_directories;xccdf_org.cisecurity.benchmarks_group_1.1_Filesystem_Configuration;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
61;Ensure mounting of cramfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1.1_Disable_unused_filesystems;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
62;Ensure mounting of squashfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1.1_Disable_unused_filesystems;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
63;Ensure mounting of udf filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1.1.1_Disable_unused_filesystems;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
64;Ensure Red Hat Subscription Manager connection is configured;xccdf_org.cisecurity.benchmarks_rule_1.2.1_Ensure_Red_Hat_Subscription_Manager_connection_is_configured;xccdf_org.cisecurity.benchmarks_group_1.2_Configure_Software_Updates;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
65;Disable the rhnsd Daemon;xccdf_org.cisecurity.benchmarks_rule_1.2.2_Disable_the_rhnsd_Daemon;xccdf_org.cisecurity.benchmarks_group_1.2_Configure_Software_Updates;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
66;Ensure GPG keys are configured;xccdf_org.cisecurity.benchmarks_rule_1.2.3_Ensure_GPG_keys_are_configured;xccdf_org.cisecurity.benchmarks_group_1.2_Configure_Software_Updates;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
67;Ensure gpgcheck is globally activated;xccdf_org.cisecurity.benchmarks_rule_1.2.4_Ensure_gpgcheck_is_globally_activated;xccdf_org.cisecurity.benchmarks_group_1.2_Configure_Software_Updates;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
68;Ensure package manager repositories are configured;xccdf_org.cisecurity.benchmarks_rule_1.2.5_Ensure_package_manager_repositories_are_configured;xccdf_org.cisecurity.benchmarks_group_1.2_Configure_Software_Updates;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
69;Ensure sudo is installed;xccdf_org.cisecurity.benchmarks_rule_1.3.1_Ensure_sudo_is_installed;xccdf_org.cisecurity.benchmarks_group_1.3_Configure_sudo;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
70;Ensure sudo commands use pty;xccdf_org.cisecurity.benchmarks_rule_1.3.2_Ensure_sudo_commands_use_pty;xccdf_org.cisecurity.benchmarks_group_1.3_Configure_sudo;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
71;Ensure sudo log file exists;xccdf_org.cisecurity.benchmarks_rule_1.3.3_Ensure_sudo_log_file_exists;xccdf_org.cisecurity.benchmarks_group_1.3_Configure_sudo;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
72;Ensure AIDE is installed;xccdf_org.cisecurity.benchmarks_rule_1.4.1_Ensure_AIDE_is_installed;xccdf_org.cisecurity.benchmarks_group_1.4_Filesystem_Integrity_Checking;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
73;Ensure filesystem integrity is regularly checked;xccdf_org.cisecurity.benchmarks_rule_1.4.2_Ensure_filesystem_integrity_is_regularly_checked;xccdf_org.cisecurity.benchmarks_group_1.4_Filesystem_Integrity_Checking;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
74;Ensure permissions on bootloader config are configured;xccdf_org.cisecurity.benchmarks_rule_1.5.1_Ensure_permissions_on_bootloader_config_are_configured;xccdf_org.cisecurity.benchmarks_group_1.5_Secure_Boot_Settings;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
75;Ensure bootloader password is set;xccdf_org.cisecurity.benchmarks_rule_1.5.2_Ensure_bootloader_password_is_set;xccdf_org.cisecurity.benchmarks_group_1.5_Secure_Boot_Settings;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
76;Ensure authentication required for single user mode;xccdf_org.cisecurity.benchmarks_rule_1.5.3_Ensure_authentication_required_for_single_user_mode;xccdf_org.cisecurity.benchmarks_group_1.5_Secure_Boot_Settings;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
77;Ensure core dumps are restricted;xccdf_org.cisecurity.benchmarks_rule_1.6.1_Ensure_core_dumps_are_restricted;xccdf_org.cisecurity.benchmarks_group_1.6_Additional_Process_Hardening;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
78;Ensure address space layout randomization (ASLR) is enabled;xccdf_org.cisecurity.benchmarks_rule_1.6.2_Ensure_address_space_layout_randomization_ASLR_is_enabled;xccdf_org.cisecurity.benchmarks_group_1.6_Additional_Process_Hardening;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
79;Ensure message of the day is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.1_Ensure_message_of_the_day_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
80;Ensure local login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.2_Ensure_local_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
81;Ensure remote login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.3_Ensure_remote_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
82;Ensure permissions on /etc/motd are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.4_Ensure_permissions_on_etcmotd_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
83;Ensure permissions on /etc/issue are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.5_Ensure_permissions_on_etcissue_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
84;Ensure permissions on /etc/issue.net are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.6_Ensure_permissions_on_etcissue.net_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
85;Ensure GDM login banner is configured;xccdf_org.cisecurity.benchmarks_rule_1.8.2_Ensure_GDM_login_banner_is_configured;xccdf_org.cisecurity.benchmarks_group_1.8_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
86;Ensure message of the day is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.1_Ensure_message_of_the_day_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
87;Ensure local login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.2_Ensure_local_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
88;Ensure remote login warning banner is configured properly;xccdf_org.cisecurity.benchmarks_rule_1.8.1.3_Ensure_remote_login_warning_banner_is_configured_properly;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
89;Ensure permissions on /etc/motd are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.4_Ensure_permissions_on_etcmotd_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
90;Ensure permissions on /etc/issue are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.5_Ensure_permissions_on_etcissue_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
91;Ensure permissions on /etc/issue.net are configured;xccdf_org.cisecurity.benchmarks_rule_1.8.1.6_Ensure_permissions_on_etcissue.net_are_configured;xccdf_org.cisecurity.benchmarks_group_1.8.1_Command_Line_Warning_Banners;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
92;Ensure xinetd is not installed;xccdf_org.cisecurity.benchmarks_rule_2.1.1_Ensure_xinetd_is_not_installed;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
93;Ensure time synchronization is in use;xccdf_org.cisecurity.benchmarks_rule_2.2.1.1_Ensure_time_synchronization_is_in_use;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
94;Ensure chrony is configured;xccdf_org.cisecurity.benchmarks_rule_2.2.1.2_Ensure_chrony_is_configured;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
95;Ensure rsync service is not enabled;xccdf_org.cisecurity.benchmarks_rule_2.2.3_Ensure_rsync_service_is_not_enabled;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
96;Ensure Avahi Server is not enabled;xccdf_org.cisecurity.benchmarks_rule_2.2.4_Ensure_Avahi_Server_is_not_enabled;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
97;Ensure SNMP Server is not enabled;xccdf_org.cisecurity.benchmarks_rule_2.2.5_Ensure_SNMP_Server_is_not_enabled;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
98;Ensure HTTP Proxy Server is not enabled;xccdf_org.cisecurity.benchmarks_rule_2.2.6_Ensure_HTTP_Proxy_Server_is_not_enabled;xccdf_org.cisecurity.benchmarks_group_2_Services;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
